,Abstrak
256,"Penjadwalan mata kuliah di program studi Teknik Informatika Universitas Trunojoyo Madura dilakukan pada setiap pergantian semester. Beberapa faktor yang mendukung penjadwalan mata kuliah antara lain dosen, mahasiswa, mata kuliah, serta jumlah ruang dan waktu yang tersedia. Permasalahan optimasi penjadwalan merupakan masalah yang sudah umum dan telah dipelajari dalam waktu yang lama, namun perlu dicari metodologi atau pendekatan teknis dan sampai saat ini telah berkembang beberapa solusi alternatif yang ditawarkan. Dalam penelitian ini digunakan algoritma Particle Swarm Optimized (PSO) utnuk melakukan optimasi pada jadwal kuliah. Karena algoritma PSO memiliki tool-tool yang cukup handal dengan penggunaan yang cukup mudah. Hasil penelitian menunjukkan bahwa algoritma Particle Swarm Optimiztion dapat diterapkan  dengan lebih baik pada optimasi penjadwalan mata kuliah dengan memaksimalkan penggunaan parameter-parameter dari algoritma Particle Swarm Optimiztion yaitu apabila nilai w besar maka untuk mengoptimalkan nilai velocity gunakan nilai kecil pada c1 dan c2, begitu juga sebaliknya bila nilai w kecil maka gunakan nilai besar pada c1 dan c2."
264,"Deteksi manusia merupakan  suatu aplikasi yang berfungsi untuk mendeteksi objek manusia dalam sebuah citra. Beberapa keuntungan yang dapat diambil dari kajian ini, yaitu penerapan pada video pengawasan. Namun, dalam video pengawasan manusia yang dideteksi dalam keadaan bergerak. Sedangkan aplikasi ini, hanya mendeteksi atau menemukan objek manusia dari background sebuah citra. Sehingga dalam proses pembuatan aplikasi ini diperlukan perhitungan – perhitungan khusus untuk mendapatkan hasil yang baik. Penelitian ini menggunakan dua tahap yaitu proses ekstraksi fitur dan klasifikasi. Proses ekstraksi fitur menggunakan metode Histogram Of Oriented Gradients (HOG). Pada prinsipnya HOG menggunakan histogram untuk memperoleh ekstraksi fitur tersebut, dengan  beberapa langkah diantarnya yaitu konversi citra, gradient compute dan normalisasi. Sedangkan pada metode Naive Bayes Classifier ini di gunakan untuk proses pengklasifikasian atau pencocokan citra. Sehingga pada hasil akhir dapat diketahui kelas citra yang telah diuji. Berdasarkan uji coba aplikasi menggunakan perhitungan distribusi gaussian probabilitas pada naive bayes classfier dengan nilai threshold = 12,13,14 dan 15 pada skenario 1, 2 dan 3 diperoleh rata – rata akurasi sebesar 68,65%.

Kata kunci : Histogram Of Oriented Gradient, Naive Bayes Classifier
"
268,"Multimedia merupakan perpaduan antara berbagai media yang berupa teks, gambar, grafik, sound, animasi, video, interaksi, dan lain lain yang dikemas menjadi file digital, digunakan untuk menyampaikan pesan kepada publik. Media  pembelajaran  interaktif merupakan segala  sesuatu yang menyangkut Software  dan Hardware yang  dapat  digunakan  sebagai  perantara untuk  menyampaikan  isi  materi  ajar  dari  sumber  belajar  ke  pembelajar  dengan metode  pembelajaran  yang  dapat  memberikan  respon  balik  terhadap  pengguna dari apa yang telah diinputkan kepada media tersebut. Kualitas  media  pembelajaran  dapat  dinilai  melalui  ukuran-ukuran  dan  metode-metode tertentu. Tujuan penelitian ini adalah membuat sebuah media pembelajaran sorting yang dapat diputar pada komputer. Perangkat lunak yang digunakan untuk mengimplementasikan sistem menggunakan Flash dan diaplikasikan pada media pembelajaran Sorting serta pada materi pengantar algoritma. Dengan menggunakan skenario sebelum video dan program dibuat sehingga perancangan media pembelajaran ini terstruktur dan sistematis. Inteface yang dibuat berisi menu pilihan materi tentang algoritma dan Sorting serta Video pembelajaran yang dapat menambah dan membantu pemahaman materi algoritma serta sorting yang didalamnya mencakup materi Insertion Sort dan Merge sort. Dalam video tersebut juga dilengkapi animasi sebagai contoh sesuai materi pembelajaran yang dibuat.
Kata Kunci :	Media Pembelajaran, Video, Flash, Sorting
"
270,"Obat merupakan salah satu kebutuhan penting dalam rumah sakit. Selama ini, kebutuhan pengumpulan data obat adalah masalah yang sering dihadapi oleh Farmasi yang memiliki kewenangan dalam pengadaan obat-obatan di rumah sakit Dr H. Slamet Martodirdjo Pamekasan. Dalam rangka menjamin ketersediaan obat perlu untuk mengatasi kebutuhan obat sesuai dengan jumlah yang dibutuhkan. Dalam rangka memenuhi tingkat kebutuhan untuk obat perlu untuk meramalkan masa depan pasokan obat dengan menggunakan data sebelumnya sebagai data untuk menentukan nilai kesalahan pelatihan metode yang digunakan. Dalam penelitian ini, metode yang akan digunakan untuk memprediksi kebutuhan obat adalah Jaringan Syaraf menggunakan algoritma Backpropagation dengan penambahan fungsi Lyapunov. Dengan penambahan fungsi ini, mampu memecahkan masalah yang terjadi dalam Backpropagation standar sering lambat untuk mencapai konvergensi.
Dari uji coba yang dilakukan dengan 3 Skenario didapatkan hasil parameter terbaik untuk melakukan peramalan pada nama obat Ambroxol dengan  nilai (?) sebesar 13, learning rate 0.4 dan epoch=125 memperoleh  nilai MAPE  2.7% .  Obat Bisoprolol Tab 5mg dengan nilai (?) sebesar 2,  learning rater  0.5 dan epoch 150 memperoleh nilai MAPE  2,94089%.  Obat Cefixime Caps 100mg dengan  nilai (?) sebesar 4, learning rate   0.2  dan epoch 100  memperoleh nilai MAPE  1,10466%.
"
272,"KB adalah singkatan dari Keluarga Berencana. Menurut Kamus besar Bahasa Indonesia (1997), KB adalah “Gerakan untuk membentuk keluarga yan sehat dan sejahtera dengan mengatur kehamilan”. Dengan kata lain KB adalah perencanaan jumlah keluarga. Pengaturan bisa dilakukan dengan penggunaan alat-alat kontrasepsi atau penanggulangan kehamilan seperti pil, suntik, IUD, dan sebagainya. Jumlah anak di anggap ideal adalah dua anak.Dalam proses penentuan pemilihan alat kontrasepsi tersebut memerlukan  Metode peramalan yang digunakan dalam sistem ini adalah metode Naïve bayes classifer untuk menghitung jumlah ketepatan dalam menentukan pilihan alat kontrasepsi. Aplikasi sistem pendukung keputusan dengan Naïve bayes classifer dapat dijadikan solusi untuk menentukan alat kontrasepsi, Nilai konfigurasi parameter untuk sistem pendukung keputusan dengan menggunakan Naïve bayes classifer.

Kata Kunci : Alat Kontrasepsi, Sistem Pendukung Keputusan,  Naïve bayes classifer
"
282,"Kamus pada perangkat selular lebih praktis dibandingkan dengan kamus cetak konvensional, karena pengguna dapat menerima informasi dengan cepat dimana saja tanpa adanya batasan ruang dan waktu. Kamus dapat memberikan informasi dan juga dapat dijadikan suatu media untuk belajar memahami istilah atau arti kata bahasa asing ataupun bahasa suatu daerah sehingga menambah pengetahuan dan wawasan.
Madura sebagai salah satu daerah di Indonesia yang memiliki adat bahasa yang khas. Selain itu, keaneka ragam budaya yang ada di Madura menjadi daya tarik wisatawan untuk berkunjung ke Pulau Madura. Ketrampilan berbahasa sangat dibutuhkan untuk mempermudah berkomunikasi dengan masyarakat madura. 
Penulis menggunakan Android sebagai platform media aplikasi ini karena android berbasis open source. Kebutuhan akan informasi sangat penting dan semakin luas pengetahuan pengguna akan bahasa daerah khususnya bahasa Madura dapat terpenuhi serta tidak terbatas ruang dan waktu karena kamus Madura ini diimplementasikan pada perangkat selular yang menggunakan sistem operasi Android versi 2.3 Ginggerbread. Aplikasi kamus mobile bahasa Indonesia Madura berbasis android ini dirancang agar pengguna dapat menambah wawasan dan mengetahui kata-kata dasar bahasa Madura dengan mengakses langsung dari perangkat selular mereka tanpa harus mencari pada kamus cetak konvensional atau menggunakan kamus online.

Kata kunci : Android, Kamus, Indonesia – Madura
"
284,"Perusahaan pemerintah maupun swasta mempunyai tujuan yang harus dicapai. Pencapaian tujuan perusahaan dapat dilakukan dengan pemanfaatan sumber daya yang dimiliki secara optimal, salah satu sumber daya tersebut adalah sumber daya manusia yang dimiliki oleh perusahaan. Sesuai dengan peraturan yang telah ditetapkan PT. Surya Madistrindo Pamekasan dalam melakukan proses promosi jabatan, maka diperlukan kriteria-kriteria seperti aspek kapasitas intelektual, aspek sikap kerja, dan aspek perilaku yang masing-masing mempunyai sub kriteria tersendiri. Metode yang digunakan adalah metode Fuzzy Analytic Network Process (FANP). Metode FANP sendiri digunakan untuk mencari bobot prioritas kepentingan dari seluruh kriteria dan sub kriteria yang telah ditetapkan dan sebagai proses perangkingan atas bobot kriteria masing-masing data karyawan. Pembobotan diperoleh dari hasil kuesioner yang dilakukan oleh pimpinan perusahaan. Proses perangkingan dilakukan dengan cara mengalikan nilai bobot dari kriteria ke tiap-tiap sub kriteria sehingga mampu menyeleksi karyawan yang berhak menduduki jabatan yang tersedia berdasarkan kriteria-kriteria yang ditentukan. Dari hasil uji coba dalam menyelesaikan studi kasus proses promosi jabatan karyawan menghasilkan nilai akurasi sebesar 80%.


Kata kunci 	: 	Sistem Pendukung Keputusan, Promosi Jabatan,  Fuzzy Analytic Network Process (FANP)
"
286,"Jumlah dokumen berita di situs web universitas semakin banyak dan up-to-date. Kebutuhan pengunjung akan informasi tersebut semakin tinggi, sedangkan di sisi lain pengguna membutuhkan penemuan informasi yang cepat dan akurat. Penelitian ini menggunakan metode cosine similarityuntuk menghitung kemiripan antar dokumen. Selain itu agar pencarian dokumen mudah ditemukan, maka dokumen diklasifikasikan berdasarkan pada kelas-kelas yang sudah ditentukan sebelumnya (preedefined) menggunakan metode k-NN (k-nearest neighbour). Untuk mempercepat penyampaian hasil pencarian kepada pengguna maka pada aplikasi ini digunakan teknik caching terhadapdokumen-dokumen yang pernah dikembalikan sebelumnya kepada pengguna. Teknik ini dimaksudkan untuk meningkatkan transfer dokumen dengan menyimpan dokumen yang pernah diakses pada cache tersebut, sehingga apabila ada dokumen yang ingin diakses adalah dokumen yang sama maka akses akan dapat dilakukan lebih cepat. Hasil pengujian memperlihatkan bahwa akurasi klasifikasi k-NN untuk dokumen teks berita mampu mencapai 95% saat dokumen diwakili oleh judul dan paragraf pertama (k=20, 25 dan 45) tetapi hanya maksimal 40% saat dokumen diwakili oleh judul dan isi lengkap. Adanya klasifikasi terbukti meningkatkan presisi hasil pencarian dan mempersingkat proes pencarian tersebut. Kehadiran cachemenjadikan waktu pemrosesan query yang telah ada sebelumnya menjadi jauh lebih cepat, rata-rata hanya memerlukan 7 mili detik.

Kata kunci : k-Nearest Neighbour,cosine similaity, cache.
"
288,"
Penyeleksian siswa baru adalah suatu hal yang perlu ditentukan secara tepat dan tepat. Dalam hal penentuan calon siswa baru diperlukan beberapa pertimbangan yang cukup banyak dan rumit yaitu standarisasi nilai, persyaratan masuk sekolah serta kebijakan-kebijakan dari pemerintah lembaga pendidikan  yang sering berubah tiap tahunnya. Maka dari itu perlu untuk merancang sebuah aplikasi untuk membantu panitia penerimaan siswa baru dalam menyeleksi siswa baru. Sehingga nantinya memperoleh siswa yang unggul, berprestasi, dan berkualitas. Decision Tree Learning merupakan satu metode learning yang sangat populer dan banyak digunakan secara praktis. Algoritma Iterative Dychotomizer 3 (ID3) yaitu salah satu metode yang dapat membangun pohon keputusan secara top-down dengan menggunakan information gain sebagai alat ukur efektivitas suatu atribut dalam mengklasifikasikan kumpulan sampel data yang kurang lengkap. Pembuatan tugas akhir ini menghasilkan system pendukung keputusan penerimaan siswa baru yang membantu para panitia dalam menyeleksi para peserta siswa baru. Sistem Pendukung Keputusan Penerimaan Siswa Baru di SMA Hidayatun Najah Pamekasan dapat menentukan calon siswa yang unggul dan berkualitas dalam bidang pendidikan dengan hasil yang lebih baik, cepat dan akurat.

Kata Kunci : Decision Tree Learning,Information Gain , Algoritma Iterative Dychotomizer 3 (ID3)"
294,"Penyakit gagal jantung merupakan salah satu darimacam-macam penyakit jantung, pada penderita gagal jantung, detakanjantungnya tidak berjalan secara normal, dalam melakukan aktivitas normal penderita cenderung mudah lelah, Penyebabnya adalah rusaknya otot jantung serta karena adanya beban jantung yang berlebihan, pada saat ini penderita penyakit gagal jantung tiap tahunnya semakin meningkat, dan lebih cenderung mengenai laki-laki daripada perempuan. Oleh karena itu, perkembangan teknologi informasi dan komunikasi menjadi media utama untuk menjembatani permasalahan tersebut. Di bidang medis, peranan teknologi informasi dan komunikasi dikemas dalam suatu wadah informatika medis, sehingga dibuatlah sebuah sistem pakar penyakit gagal jantung yang nantinya diharapkan bisa bermanfaat untuk mengetahui lebih dini penyakit gagal jantung, sehingga dapat ditangani lebih cepat dan mengurangi resiko meninggal dunia, dalam hal ini aplikasi untuk mendiagnosa penyakit gagal jantung menggunakan metode Radial Basis Function, dengan penentuan hidden node menggunakan K-Means Cluster, metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, fungsi aktivasi yang digunakan pada penelitian ini hanya menggunakan fungsi aktivasigaussian, inputan terdiri dari 16 variabel, berdasarkan keluhan dan gejala-gejala yang dialami oleh pasien, data training dan data testing yang digunakan berasal dari rekammedik Rumah Sakit Umum DaerahSidoarjo. Kata Kunci : Radial Basis Function, K-Means, Gaussian"
302,"Citra senyum merupakan salah satu fitur biometrik yang dapat dijadikan sebagai bukti autentik dari seseorang. Sistem pengenalan pola (pattern recognition) secara komputerisasi, akan mengetahui identitas atau ciri diri seseorang. Pengenalan senyum telah banyak diteliti oleh banyak kalangan. Salah satu bentuk penerapan pengenalan pola senyum ini adalah mengetahui senyum seseorang sehingga nantinya senyum tersebut dapat dikenali oleh komputer dan disimpan dalam database. Terdapat dua cara untuk menentukan pola senyuman yaitu secara manual dan otomatis. Secara manual dapat dilakukan dengan kasat mata, sedangkan secara otomatis dapat di tentukan dengan menggunakan suatu sistem. Pada  Tugas Akhir ini, mengidentifikasi senyuman secara otomatis digunakan metode Principal Component Analysis (PCA) dan Linier Descriminant Analysis (LDA), dimana jenis senyuman pada tugas akhir ini dibagi menjadi lima bagian, yaitu senyum manis, senyum mengejek, senyum yang dipaksakan, senyum tertutup dan senyum terbuka. Penggunaan metode ekstraksi fitur  yang tepat dan efisien  sangat menentukan keberhasilan dari sistem pengenalan pola secara keseluruhan. Untuk metode klasifikasi pengenalan pola menggunakan Euclidean Distance atau Manhattan Distance. Dari hasil uji coba menggunakan 175 gambar data pelatihan didapatkan tingkat akurasi PCA adalah 89.8% pada ordered3. Sedangkan hasil uji coba menggunakan PCA & LDA didapatkan tingkat akurasi 100% pada ordered3."
308,"Optical Font Recognition (OFR) merupakan  teknik analisa tipe tulisan pada teks atau dokumen yang sangat diminati. Penelitian ini menguji keefektifan penggunaan analisa ekstraksi fitur global berdasarkan analisa statistik pada perilaku piksel tepi citra biner OFR. Salah satu metode OFR berdasarkan pendekatan global adalah Edge Direction Matrix (EDM).  EDM merupakan sebuah metode baru pada ekstraksi fitur untuk citra biner dimana perilaku piksel tepi antara background putih dan pola hitam diambil sebagai fitur pola. Kemudian nilai tersebut disimpan pada matrik EDM1 dan EDM2  sesuai dengan delapan arah sudut. Dari nilai matrik yang terbentuk kemudian akan dihitung berdasarkan enam persamaan EDM sehingga membentuk 22 nilai fitur. Dalam hal ini dataset yang digunakan untuk pengujian berjumlah 1200 data citra yang berasal dari empat aksara kuno yang ada di Indonesia yaitu Aksara Carakan, Aksara Batak Toba, Aksara Had Lampung dan Aksara Kaganga. Setiap aksara mempunyai empat style font yaitu Bold, Bold-Italic, Italic dan Regular. Penelitian ini menggunakan metode Euclidean Distance dalam proses klasifikasi dan pengenalan tipe tulisan sehingga mendapatkan hasil akurasi pengenalan tertinggi mencapai 83,7% pada skenario ke 5 dengan jumlah data ujicoba sebanyak 208 data. "
314,"Pengetahuan tentang bahasa Inggris pada jaman globalisasi saat ini sangatlah penting dan menjadi salah satu sarana untuk berkompetisi di segala bidang. Namun demikian, seringkali proses pembelajaran tidak dapat berjalan dengan lancar dikarenakan kurangnya metode pembelajaran yang kurang interaktif. Berangkat dari permasalahan tersebut maka dibangunlah sebuah game yang berunsur edukasi. Game berunsur edukasi harusnya menyenangkan dan tidak terlalu mudah atau terlalu sulit dimainkan  salah satunya dengan penerapan Artifical Intelegent (kecerdasan buatan). Dalam penelitian ini adalah bagaimana pemain mendapatkan tantangan (soal) sesuai dengan kemampuannya (pelevelan mandiri/auto leveling). Sehingga pemain tidak merasa frustasi (jika soalnya terlalu sulit) atau bosan (jika soalnya terlalu mudah). Metode yang dapat digunakan untuk membuat game yang mempunyai pelevelan mandiri adalah metode Finite State Machine (FSM) dan seluruhnya akan diimplementasikan kedalam game engine XNA. Dalam game pembelajaran bahasa Inggris ini terdapat speaking dan reading yang akan memanfaatkan teknologi speech recognition yang terdapat didalam XNA game studio. Dengan melakukan uji coba sistem kepada responden menghasilkan beberapa hal menjadikan game sebagai salah satu media pembelajaran, terciptanya game yang menarik dan menjadi game yang adaptif dengan penerapan perlevelan mandiri. Penggunaan speech recognition dapat meningkatkan kemampuan berbicara dalam bahasa Inggris. 

Kata Kunci : Education Game, Automatic Leveling, FSM (Finite State Machine), XNA game engine, Speech Recognition.
"
326,"Salah satu komponen penting yang menunjang operasi perusahaan adalah kegiatan memprediksi jumlah penjualan untuk periode selanjutnya. Dengan prediksi yang baik dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Sehingga dapat meminimalisir terjadinya kelebihan stok barang di gudang yang menyebabkan kerugian bagi perusahaan. Penelitian ini mengidentifikasi pola data penjualan produk STARFOOD di C.V. Wira Usaha Bugar Kecamatan Tragah, Kabupaten Bangkalan. agar mendapatkan metode peramalan yang terbaik berdasarkan pola data penjualan penjualan produk. Oleh karena itu dibutuhkan implementasi yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan produk STARFOOD menggunakan metodeMoving Average (MA) lebih baik dari pada metode Single Exponential Smoothing (SES), dengan rata-rata bergerak m=12 dan menghasilkan MAPE 12,51%  dari semua produk untukstudikasusdi CV. Wira Usaha Bugar Kec. Tragah, Kab. Bangkalan."
330,"Pembelajaran/Tutorial pada perangkat selular lebih praktis dibandingkan dengan pembelajaran konvensional tatap muka, karena pengguna dapat belajar dengan fleksibel dimana saja tanpa adanya batasan ruang dan waktu. Pembelajaran mobile dapat memberikan kemudahan dalam memahami sesuatu tanpa mengganggu hal-hal yang berhubungan dengan manusia .
Capoeira sebagai salah satu kebudayaan populer di dunia telah merebut hati penggemarnya dari berbagai kalangan usia, gender, kultur dan lain sebagainya. Karena Capoeira terdapat nilai universal yang mampu menjadikan satu dalam perbedaan, terlebih Capoeira dianggap efektif sebagai salah satu gaya hidup sehat dalam unsur sportnya.
Madura sebuah pulau Indah yang juga tak kalah dalam Capoeira. Disini terdapat suatu kelompok yang fokus dan eksis dalam mempelajari dan mengembangkan Capoeira. Adalah Zungu Capoeira Madura nama dari kelompok ini yang berafiliasi dengan Induknya di Brasil membuat inovasi Zucara sebagai media pembelajarannya. 
Penulis menggunakan Android sebagai platform media aplikasi ini karena android berbasis open source. Kebutuhan akan media pembelajaran ini diimplementasikan pada perangkat selular yang menggunakan sistem operasi Android versi 2.3 Gingerbread. Harapan dari aplikasi ini adalah pengguna dapat meningkatkan skill Capoeira dengan mengakses langsung dari perangkat selular mereka.
"
334,"Perkembangan teknologi komunikasi yang begitu cepat memicu perkembangan teknologi telpon seluler sebagai salah satu alat komunikasi modern. Komunikasi data yang diimplementasikan juga beragam, teks, gambar bahkan suara. Medium yang digunakan-pun kini beragam baik itu internet, local connection hingga bluetooth. Bluetooth dapat dipilih sebagai alternatif medium untuk menghubungkan satu perangkat dengan perangkat lain. Ditambah lagi dengan perkembangan android yang belakangan ini juga semakin pesat semakin memberi kemudahan untuk betukar data melalui bluetooth. Bluetooth mampu menghubungkan perangkat yang satu dengan perangkat lainnya. Ini kemudian memungkinkan antar perangkat dapat saling bertukar atau berkirim data. Namun, dalam proses pengiriman data tersebut tidak ada yang dapat menjamin keamanannya. Hal ini yang kemudian membuat proses enkripsi menjadi hal yang penting. Data yang dikirim terlebih dahulu dikodekan sedemikian rupa hingga hanya dengan kunci tertentu kode tersebut dapat dibaca. RSA kemudian muncul sebagai salah satu alternatif algoritma yang dapat digunakan menangani proses enkripsi tersebut. RSA memiliki teknik pemfaktoran yang cukup rumit, hal ini membuat tingkat keamanannya cukup tinggi. Selain itu, RSA juga cocok diaplikasikan dalam platform mobile karena memiliki struktur yang asimetris sehingga tidak terlalu membebani sistem yang dimiliki oleh perangkat mobile tersebut. Pengujian aplikasi ini sudah teruji melalui perhitungan manual dan dari pengambilan dua device yang berbeda. "
336,"Search engine saat ini menggunakan mekanisme temu balik informasi dengan hasil yang belum optimal, dikarenakan proses pencarian dilakukan dengan mencocokkan query dengan kata pada konten, serta pembobotan tanpa memperhitungkan relasinya, juga proses pencarian klasik memakai acuan dokumen hypertext yang tidak terstruktur dan masih berupa bahasa alami. Beberapa permasalahan tersebut menyebabkan proses pencarian tidak akurat sesuai dengan kata kunci yang dimasukkan. Untuk menjawab permasalahan tersebut telah dikembangkan sebuah sistem yang disebut web semantik. Pada mekanisme web semantik, proses pencariannya menggunakan dokumen yang sudah terstruktur dan memiliki kemampuan untuk memberikan pengetahuan kepada mesin yaitu Resource Description Framework (RDF). Pada penelitian ini telah dibuat sebuah prototype mesin pencari berbasis web semantik. Teknologi web semantik yang digunakan pada penelitian ini berfokus pada pembuatan dokumen RDF untuk mendeskripsikan metadata menjadi sebuah resource yang memiliki susunan semantik (subjek-predikat-objek) dan menggunakan SPARQL yang mengambil modul ARQ pada Jena Library untuk mekanisme pencariannya. Penelitian ini telah menghasilkan dokumen RDF dari domain detikinet.com sebagai sumber pencarian yang valid sesuai struktur RDF dan standarisasi dokumen RDF dari W3C, juga menghasilkan prototype mesin pencari dengan optimalisasi Jena dan SPARQL yang menghasilkan nilai rata-rata precission 0.52, recall 0.63, f-measure 0.53."
338,"Malaria disebabkan oleh intraseluler parasit bersel tunggal yang dimiliki genus Plasmodium yang menginfeksi manusia dengan memasuki aliran darah. Dampak malaria secara geografis memiliki tingkat  transmisi tertinggi di daerah tropis dan subtropics, yaitu di negara-negara yang memiliki tingkat pertumbuhan penduduk yang besar (termasuk Indonesia). Pendeteksian parasit malaria dapat dilakukan mencari titik kromatin. Bila tidak ada titik kromatin pada sel darah merah  maka sel darah merah tersebut di anggap sebagai sel darah merah sehat. Pendeteksian titik kromatin secara manual akan memerlukan waktu yang lama. Proses segmentasi diharapkan sebagai langkah pertama untuk memudahkan pendeteksian titik kromatin karena segmentasi merupakan  salah  satu  faktor yang sangat penting dalam analisis suatu gambar. Penelitian ini melakukan segmentasi sel darah merah dengan menggunakan operasi Morfologi, deteksi tepi Canny, dan transformasi Watershed. Data yang digunakan sebanyak 15 data citra dan setiap citra akan diuji dengan empat macam operasi Morfologi kemudian citra hasil Morfologi akan diuji sebanyak 16 kali percobaan dengan parameter masking, sigma, high threshold (HT), dan low threshold (LT) dari deteksi tepi Canny. Hasil pengujian kemudian disegmentasi dengan menggunakan transformasi Watershed. Perhitungan tingkat akurasi dilakukan dengan membandingkan koordinat tiap piksel citra hasil segmentasi dengan citra ground truth  dan menghasilkan nilai rata-rata akurasi sebesar 39.3 %."
350,"Peramalan memperkirakan sesuatu pada waktu-waktu yang akan datang berdasarkan data masa 
lampau yang dianalisa secara ilmiah, khususnya menggunakan metode perhitungan statistika. 
Semakin banyak jumlah permintaan konsumen terhadap aksesoris olahraga maka secara 
otomatis penjualanya akan meningkat pula.hal ini akan tergantung terhadap banyaknya  
penjualan aksesoris olahraga kepada konsumen.  Selama ini  toko trend soccer  tidak pernah 
menggunakan sistem peramalan.  Tidak adanya peramalan mengakibatkan kurang efisien 
terhadap keuntungan toko tersebut karena tidak ada peramalan penjualan tiap mingguannya. 
oleh karena itu dibutuhkan implementasi peramalan yang bisa memprediksi jumlah penjualan 
tiap minggunya agar mengetahui besarnya penjualan tiap minggunya Maka untuk meramalkan 
menggunakan metode Single Exponential Smoothing, dan Double Exponential Smoothing dan 
diterapkan pada tools winqsb, Program WinQSB merupakan program komputer yang dapat 
melakukan peramalan berkaitan dengan data-data berpola konstan, trend atau musiman, dengan 
masing-masing dari pola data tersebut menggunakan metode dalam WinQSB yang berbeda. 
Dalam pola-pola tersebut juga terdapat metode-metode yang ada.Dari hasil peramalan yang 
dilakukan  menggunakan metode  single exponential smoothing dan double exponential 
smoothing  dengan nilai  ? 0,1,  ? 0,3, ? 0,5.  diperoleh hasil terbaik dengan nilai MSE dan 
MAPE terkecil dengan nilai rata-rata MSE sebesar 62.64  dan nilai MAPE sebesar 12.64%. 
Kata kunci : Peramalan,  Single Exponential Smooting (SES), Double Exponential Smooting 
(DES), Mean Square Error (MSE). 
 "
353,"Pengiriman informasi melalui jaringan elektronik dalam permasalahan ini adalah chatting dengan media server memiliki kerentanan dalam keamanan data yang dikirimkan . Layanan tersebut diketahui memiliki beberapa kelemahan, yaitu kelemahan terhadap masalah keamanan sistem. Kelemahan itu dikarenakan data yang dikirim kedalam server menggunakan koneksi dengan jaringan global sehingga lebih rentan terhadap serangan hacker.Pada penelitian ini untuk menjamin keamanan dan kerahasiaan informasi pada komunikasi yang menggunakan jaringan IP mobile, dilakukan proses enkripsi dan dekripsi terhadap informasi yang akan dikirimkan. Enkripsi dilakukan pada saat pengiriman dengan cara mengkonversi informasi asli menjadi informasi yang terenkripsi sedangkan dekripsi dilakukan pada saat penerimaan dengan cara mengkonversi informasi terenkripsi menjadi informasi asli. Jadi informasi yang dikirimkan selama proses pengiriman adalah data informasi yang terenkripsi, sehingga informasi asli tidak dapat diketahui oleh pihak yang tidak berhak. Informasi asli hanya dapat diketahui oleh penerima dengan menggunakan kunci rahasia.Penggunaan algoritma enkripsi Data Encryption Standard (DES) merupakan upaya untuk mencegah kebocoran data chat ke pihak lain. Sehingga dalam menggunakan aplikasi chat tidak dikhawatirkan terjadinya kebocoran informasi pribadi. Karena berdasarkan hasil uji coba terbukti bahwa cipherteks yang dihasilkan telah sesuai dengan hasil perhitungan menggunakan algoritma enkripsi DES. dan telah diuji menggunakan beberapa aplikasi DES test vector. "
354,"Unsur estetika dalam berpakaian terkadang menjadi salah satu permasalahan tersendiri bagi sebagian besar orang. Termasuk salah satunya permasalahan menentukan ukuran pakaian agar terlihat sesuai dengan ukuran tubuhnya. Dahulu untuk mendapatkan ukuran pakaian yang sesuai harus dilakukan secara manual menggunakan alat bantu berupa meteran, dengan pemanfaatan teknologi ini dapat menentukan ukuran pakaian yang sesuai dengan mudah.
Penelitian ini terdiri dari dua tahap yaitu proses segmentasi citra dan pengklasifikasi sesuai ukuran pakaian dengan menggunakan Metode Naïve Bayes. Pada proses segmentasi terdiri dari beberapa langkah, yaitu mengubah citra RGB menjadi Grayscale, dari citra Grayscale ke Biner dengan tresholding menggunakan Otsu, dan dihitung tinggi dan lebar objek, kemudian proses klasifikasi menggunakan metode Naïve Bayes. Metode Naïve Bayes ini digunakan untuk proses pengklasifikasian ukuran pakaian berdasarkan hasil ukur objek. Sehingga pada hasil akhir dapat diketahui hasil ukuran yang sesuai.
Citra didapat dari 2 cara yaitu, dari webcam/ kamera secara realtime dan file berformat .bmp. Berdasarkan uji coba proses segmentasi konversi dari citra grayscale ke biner dengan menggunakan tresholding otsu lebih memudahkan dalam memisahkan antara objek dengan latar belakang berdasarkan nilai ambang yang telah ditentukan. Setelah didapatkan ukuran objek maka diklasifikasikan dengan menggunakan metode Naïve Bayes. Dengan demikian, penelitian ini dapat dikembangkan lagi dengan metode pembelajaran lainya.
Kata kunci: Grayscale, Biner, Tresholding, Otsu, Naïve Bayes"
